"order_id","order_date","order_year_month","customer_name","city","state_province","email","order_type","quantity","product_name","product_line","product_price","product_status"
51188,2025-07-01,"2025-07",Audrey Blanco,North Cherylmouth,New Hampshire,audrey_blanco@email.com,Retail,3,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51187,2025-07-01,"2025-07",Isaac Allen,Traceyland,West Virginia,isaac_allen@email.com,Online,4,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51199,2025-07-02,"2025-07",Ian Morgan,Dylanberg,South Dakota,ian_morgan@email.com,Online,5,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51241,2025-07-04,"2025-07",Alexa Bell,Lake Tracytown,Wisconsin,alexa_bell@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51297,2025-07-08,"2025-07",Casey Diaz,Byrdchester,Mississippi,casey_diaz@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51319,2025-07-09,"2025-07",Troy Rodriguez,South Brendamouth,Ohio,troy_rodriguez@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51357,2025-07-11,"2025-07",Natalie Phillips,Rachelburgh,Alabama,natalie_phillips@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51371,2025-07-12,"2025-07",Dalton Mitchell,Michaeltown,Virginia,dalton_mitchell@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51424,2025-07-15,"2025-07",Timothy James,West Pamela,New York,timothy_james@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51452,2025-07-17,"2025-07",Fernando Scott,East Maureenbury,South Dakota,fernando_scott@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51472,2025-07-19,"2025-07",Kathleen Jimenez,Ramirezstad,Maryland,kathleen_jimenez@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51496,2025-07-20,"2025-07",Jacqueline Ramirez,East Richard,Pennsylvania,jacqueline_ramirez@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51508,2025-07-21,"2025-07",Patricia Rodriguez,Chambersport,Georgia,patricia_rodriguez@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51570,2025-07-24,"2025-07",Johnny Xu,Jeremyhaven,Texas,johnny_xu@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51579,2025-07-25,"2025-07",Amanda Hall,Lake Jillian,Michigan,amanda_hall@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51616,2025-07-27,"2025-07",Austin Jones,Clarenceshire,Kentucky,austin_jones@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51655,2025-07-29,"2025-07",Benjamin Gonzales,West Matthewport,Missouri,benjamin_gonzales@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51918,2025-08-01,"2025-08",Jose Walker,Patrickport,Kentucky,jose_walker@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
51919,2025-08-01,"2025-08",Kristy Sanz,Watsonview,Massachusetts,kristy_sanz@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
52150,2025-08-06,"2025-08",Gabriella Gray,Lake Tylerbury,Illinois,gabriella_gray@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
52208,2025-08-07,"2025-08",Seth Barnes,North Mark,Alaska,seth_barnes@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
52323,2025-08-09,"2025-08",Rafael She,East Danielberg,Nebraska,rafael_she@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
52363,2025-08-10,"2025-08",Thomas Long,South Crystal,Montana,thomas_long@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
52399,2025-08-11,"2025-08",Riley Reed,Kathleenberg,New York,riley_reed@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
52569,2025-08-14,"2025-08",Edwin Lin,North Richardfort,Wisconsin,edwin_lin@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
52574,2025-08-14,"2025-08",Lindsay Xu,Woodton,Oregon,lindsay_xu@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
52614,2025-08-15,"2025-08",Preston Subram,New Jennifer,South Carolina,preston_subram@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
52835,2025-08-19,"2025-08",Alexia Diaz,Lake Colefurt,Louisiana,alexia_diaz@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
52834,2025-08-19,"2025-08",Darren Saunders,Johnton,Michigan,darren_saunders@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
52879,2025-08-20,"2025-08",Jake Cai,Port Meganshire,Indiana,jake_cai@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
52927,2025-08-21,"2025-08",Randall Torres,Isaacmouth,Nevada,randall_torres@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
53001,2025-08-23,"2025-08",Bianca Huang,West Rodney,New Hampshire,bianca_huang@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
53060,2025-08-24,"2025-08",Derek Chande,Martinstad,Delaware,derek_chande@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
53131,2025-08-25,"2025-08",Terrence Jai,Coryhaven,Virginia,terrence_jai@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
53175,2025-08-26,"2025-08",George Garcia,Russellmouth,Ohio,george_garcia@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
53446,2025-08-31,"2025-08",Caleb Edwards,North Nathan,Florida,caleb_edwards@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
53440,2025-08-31,"2025-08",Dale Goel,New Tiffanyland,Ohio,dale_goel@email.com,Retail,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
53441,2025-08-31,"2025-08",Dale Raje,Jacquelineburgh,Rhode Island,dale_raje@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
53863,2025-09-05,"2025-09",Evelyn Mehta,Lynchville,Rhode Island,evelyn_mehta@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
53869,2025-09-05,"2025-09",Julia Roberts,Davisfort,New Mexico,julia_roberts@email.com,Online,1,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",Mobile,649.99,Active
53918,2025-09-06,"2025-09",Brendan Deng,East Malloryfurt,Delaware,brendan_deng@email.com,Retail,1,"Road-750 Black, 52",Bikes,539.99,Active
53967,2025-09-07,"2025-09",Edwin Li,North Heathermouth,Massachusetts,edwin_li@email.com,Online,1,"Road-750 Black, 52",Bikes,539.99,Active
54100,2025-09-09,"2025-09",Linda Navarro,Ronaldbury,South Dakota,linda_navarro@email.com,Retail,1,"Road-750 Black, 52",Bikes,539.99,Active
